corrupted file!
s5p_l2_ch4_0017_03932.nc 2018-07-17 14:09:32
s5p_l2_ch4_0017_03944.nc 2018-07-18 10:27:27
s5p_l2_ch4_0017_03945.nc 2018-07-18 12:08:58
s5p_l2_ch4_0017_03946.nc 2018-07-18 13:50:27
s5p_l2_ch4_0017_03958.nc 2018-07-19 10:02:16
s5p_l2_ch4_0017_03959.nc 2018-07-19 11:49:54
s5p_l2_ch4_0017_03960.nc 2018-07-19 13:31:23
s5p_l2_ch4_0017_03973.nc 2018-07-20 11:24:42
s5p_l2_ch4_0017_03974.nc 2018-07-20 13:12:18
s5p_l2_ch4_0017_03975.nc 2018-07-20 14:53:48
s5p_l2_ch4_0017_03987.nc 2018-07-21 11:11:44
s5p_l2_ch4_0017_03988.nc 2018-07-21 12:47:07
s5p_l2_ch4_0017_03989.nc 2018-07-21 14:28:36
s5p_l2_ch4_0017_04001.nc 2018-07-22 10:52:40
s5p_l2_ch4_0017_04002.nc 2018-07-22 12:34:09
s5p_l2_ch4_0017_04003.nc 2018-07-22 14:09:32
s5p_l2_ch4_0017_04015.nc 2018-07-23 10:33:35
s5p_l2_ch4_0017_04016.nc 2018-07-23 12:15:05
s5p_l2_ch4_0017_04017.nc 2018-07-23 13:56:34
s5p_l2_ch4_0017_04029.nc 2018-07-24 10:14:30
s5p_l2_ch4_0017_04030.nc 2018-07-24 11:56:00
s5p_l2_ch4_0017_04031.nc 2018-07-24 13:37:29
s5p_l2_ch4_0017_04044.nc 2018-07-25 11:36:55
s5p_l2_ch4_0017_04045.nc 2018-07-25 13:18:25
s5p_l2_ch4_0017_04046.nc 2018-07-25 14:59:54
s5p_l2_ch4_0017_04058.nc 2018-07-26 11:17:50
s5p_l2_ch4_0017_04059.nc 2018-07-26 12:59:20
s5p_l2_ch4_0017_04060.nc 2018-07-26 14:40:50
s5p_l2_ch4_0017_04072.nc 2018-07-27 10:58:44
s5p_l2_ch4_0017_04073.nc 2018-07-27 12:40:15
s5p_l2_ch4_0017_04074.nc 2018-07-27 14:21:44
